                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.90216,                 2.0892,                 2.1677,                 1.3256,                0.21407,                      1,                   0.83,                0.56742,                0.21407,                      1,                0.84243,                0.68039,                0.49508,                      0,                 5.1461,                0.66413,             0.00065185,             0.00065185,             0.00065185
                      1,                0.77253,                 1.2052,                 1.8048,                 1.1957,                0.33253,                0.87179,                0.36854,                0.27632,                0.33253,                0.87179,                0.36854,                0.24826,                  0.526,                      0,                 4.7803,                0.72674,              0.0012527,              0.0012527,              0.0012527
                      2,                0.83171,                 1.2879,                 1.7695,                 1.2213,                0.69482,                0.92308,                 0.8136,                0.61544,                0.12994,                0.92308,                0.13344,                0.07286,                0.59868,                      0,                 3.9888,                0.80887,              0.0017869,              0.0017869,              0.0017869
                      3,                0.79305,                 1.3258,                 1.6808,                  1.206,                0.38031,                0.97436,                0.72042,                0.33867,                0.04837,                0.76923,                0.05632,                0.00914,                 1.4715,                      0,                 4.6941,                 2.3016,              0.0017003,              0.0017003,              0.0017003
                      4,                0.78905,                 1.2491,                  1.622,                  1.191,                0.68156,                0.84615,                0.77112,                0.46839,                0.71248,                0.76923,                0.82129,                0.55898,                0.71498,                      0,                 3.8074,                0.78452,              0.0017003,              0.0017003,              0.0017003
                      5,                 0.8026,                  1.217,                 1.5918,                 1.2032,                0.83269,                0.94872,                0.86912,                0.46308,                0.83269,                0.94872,                0.86912,                0.56329,                0.61866,                      0,                 4.2252,                0.75432,              0.0016004,              0.0016004,              0.0016004
                      6,                0.79811,                 1.2053,                 1.5697,                 1.1977,                  0.589,                0.66151,                0.73234,                0.28151,                0.61108,                0.66667,                0.76525,                0.38064,                0.94436,                      0,                 4.2519,                 1.0519,              0.0015005,              0.0015005,              0.0015005
                      7,                0.83254,                 1.1967,                 1.5964,                 1.2203,                0.28828,                0.79487,                0.44886,                0.22858,                0.27898,                0.76923,                0.44424,                0.32453,                0.73904,                      0,                 4.6882,                 0.8358,              0.0014006,              0.0014006,              0.0014006
                      8,                0.80957,                 1.2167,                 1.5655,                 1.2026,                0.39426,                0.64103,                0.51673,                0.23332,                0.40018,                0.64103,                0.49274,                0.25475,                 1.4863,                      0,                 4.2959,                 1.4529,              0.0013007,              0.0013007,              0.0013007
                      9,                0.80929,                 1.1115,                 1.5586,                 1.2018,                0.81389,                0.71795,                0.89628,                0.63858,                0.81389,                0.71795,                0.89102,                0.73241,                0.74076,                      0,                 3.2612,                0.86374,              0.0012008,              0.0012008,              0.0012008
                     10,                0.76689,                 1.0969,                 1.5563,                 1.1833,                0.94147,                      1,                 0.9945,                0.76238,                0.94147,                      1,                 0.9945,                 0.8166,                  0.609,                      0,                 2.4706,                 0.7471,              0.0011009,              0.0011009,              0.0011009
                     11,                0.76269,                 1.0794,                 1.5342,                 1.1747,                0.79321,                      1,                0.94368,                0.60984,                0.79321,                      1,                0.94368,                0.79061,                0.86047,                      0,                 3.0849,                0.91601,               0.001001,               0.001001,               0.001001
                     12,                0.73331,                 1.0769,                 1.5134,                 1.1541,                0.97407,                0.96345,                0.99145,                0.73477,                0.97407,                0.96345,                0.99145,                0.82761,                0.69518,                      0,                 2.6296,                0.81308,              0.0009011,              0.0009011,              0.0009011
                     13,                0.74679,                 1.1056,                 1.5642,                 1.1712,                      1,                0.99432,                  0.995,                0.79938,                      1,                0.99432,                  0.995,                0.86329,                0.66881,                      0,                 2.3868,                0.76844,              0.0008012,              0.0008012,              0.0008012
                     14,                0.73678,                 1.0837,                 1.5068,                 1.1578,                0.96629,                      1,                 0.9945,                0.82483,                0.96629,                      1,                 0.9945,                 0.8793,                0.63986,                      0,                 2.1937,                0.74541,              0.0007013,              0.0007013,              0.0007013
                     15,                0.71906,                 1.0273,                 1.5288,                  1.159,                0.98857,                      1,                  0.995,                0.82647,                0.98857,                      1,                  0.995,                0.87876,                0.62685,                      0,                 2.2596,                0.73152,              0.0006014,              0.0006014,              0.0006014
                     16,                0.70906,                0.97135,                 1.4829,                 1.1451,                0.99569,                      1,                  0.995,                0.80512,                0.99569,                      1,                  0.995,                0.83727,                0.67734,                      0,                 2.3098,                0.76092,              0.0005015,              0.0005015,              0.0005015
                     17,                0.70551,                0.98306,                 1.4733,                 1.1409,                0.99633,                      1,                  0.995,                0.83381,                0.99633,                      1,                  0.995,                0.84921,                 0.5724,                      0,                 2.1476,                0.71135,              0.0004016,              0.0004016,              0.0004016
                     18,                0.69731,                 1.0077,                 1.4933,                 1.1313,                0.99478,                      1,                  0.995,                 0.8238,                0.99478,                      1,                  0.995,                0.87836,                0.62979,                      0,                 2.0874,                0.74049,              0.0003017,              0.0003017,              0.0003017
                     19,                0.67135,                0.98001,                 1.4575,                  1.111,                0.99365,                      1,                  0.995,                0.81843,                0.99365,                      1,                  0.995,                 0.8873,                0.55996,                      0,                 2.1812,                0.70394,              0.0002018,              0.0002018,              0.0002018
