                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.90216,                 2.0892,                 2.1677,                 1.3256,                0.21407,                      1,                   0.83,                0.56742,                0.21407,                      1,                0.84243,                0.68039,                0.49508,                      0,                 5.1461,                0.66413,             0.00065185,             0.00065185,             0.00065185
                      1,                 0.7787,                 1.2275,                 1.8046,                 1.2012,                0.22715,                0.87179,                0.25458,                0.15945,                0.22715,                0.87179,                0.26403,                0.16566,                0.63027,                      0,                 4.8616,                0.82472,              0.0013011,              0.0013011,              0.0013011
                      2,                 0.8444,                 1.4936,                 1.7568,                  1.235,                0.10926,                0.97436,                0.11024,                0.05617,                 0.1055,                0.94872,                0.10866,                0.03666,                 1.2721,                      0,                 20.545,                 1.4935,              0.0019328,              0.0019328,              0.0019328
                      3,                0.79731,                  1.414,                 1.6639,                 1.2121,                0.59974,                0.73012,                0.75373,                0.38414,                0.60299,                0.81787,                0.72784,                0.28581,                0.88576,                      0,                 3.9605,                0.97817,              0.0019208,              0.0019208,              0.0019208
                      4,                0.85806,                 1.2411,                 1.6449,                 1.2425,                0.13647,                0.97436,                0.13817,                0.09029,                0.13304,                0.94872,                0.13306,                0.08996,                0.83377,                      0,                 5.1264,                0.91953,              0.0019208,              0.0019208,              0.0019208
                      5,                0.84105,                 1.2275,                 1.5981,                 1.2301,                0.35318,                0.41026,                0.41755,                0.28053,                0.35318,                0.41026,                0.41757,                0.28066,                0.96975,                      0,                 3.9378,                 1.0658,              0.0018944,              0.0018944,              0.0018944
                      6,                0.85228,                 1.1989,                 1.5885,                  1.224,                0.15582,                0.84615,                0.20129,                0.09144,                 0.1242,                0.69231,                0.15188,                0.03268,                0.97788,                      0,                 4.8544,                  1.128,               0.001868,               0.001868,               0.001868
                      7,                0.88432,                 1.2745,                  1.599,                  1.247,                 0.9847,                0.97436,                0.99314,                0.72103,                 0.9847,                0.97436,                0.99314,                0.72344,                0.80765,                      0,                 2.7528,                0.91211,              0.0018416,              0.0018416,              0.0018416
                      8,                0.84834,                 1.4715,                 1.6007,                 1.2239,                0.87723,                0.89744,                0.97247,                0.58219,                0.87723,                0.89744,                0.97247,                0.66167,                0.88743,                      0,                 3.1584,                0.99119,              0.0018152,              0.0018152,              0.0018152
                      9,                0.82153,                 1.2157,                 1.5455,                 1.2073,                0.65474,                0.89744,                0.84347,                0.57693,                0.65474,                0.89744,                0.84347,                0.61352,                0.75753,                      0,                  3.396,                0.88483,              0.0017888,              0.0017888,              0.0017888
                     10,                0.84173,                 1.1874,                 1.5619,                 1.2181,                0.33923,                0.71795,                0.49315,                0.31103,                0.36841,                0.58974,                0.55338,                0.37008,                0.95321,                      0,                 3.6937,                0.98455,              0.0017624,              0.0017624,              0.0017624
                     11,                0.86015,                 1.2905,                 1.5838,                 1.2216,                 0.8754,                0.89744,                0.94477,                0.58061,                 0.8754,                0.89744,                0.94477,                0.61645,                0.70032,                      0,                 3.4204,                0.82475,               0.001736,               0.001736,               0.001736
                     12,                 0.8169,                 1.1822,                 1.5936,                 1.1966,                0.65556,                0.82974,                0.81866,                 0.5214,                0.64624,                 0.8432,                0.78655,                0.52992,                0.57685,                      0,                 3.4252,                0.72748,              0.0017096,              0.0017096,              0.0017096
                     13,                0.83302,                   1.29,                 1.6206,                  1.224,                0.86485,                0.97436,                0.94306,                0.73524,                0.86485,                0.97436,                0.94306,                0.69392,                0.80481,                      0,                 3.0433,                0.84575,              0.0016832,              0.0016832,              0.0016832
                     14,                0.95538,                 1.5676,                  1.668,                 1.2964,                0.45763,                0.64103,                 0.6507,                0.32469,                0.47593,                0.66667,                0.65477,                0.42436,                 1.1463,                      0,                 4.1681,                 1.1707,              0.0016568,              0.0016568,              0.0016568
                     15,                 1.0035,                 2.1573,                 1.7896,                 1.3763,                0.80866,                0.87179,                0.92561,                0.56165,                0.78866,                0.87179,                0.92578,                0.39619,                0.81064,                      0,                 3.2974,                0.89923,              0.0016304,              0.0016304,              0.0016304
                     16,                 1.2958,                 3.9482,                 2.1407,                 1.6031,                0.00197,                0.58974,                0.00272,                0.00075,                0.00163,                0.48718,                 0.0013,                0.00026,                 3.7466,                      0,                 14.334,                 3.9037,               0.001604,               0.001604,               0.001604
                     17,                 1.9728,                  5.061,                 2.7065,                 2.2096,                0.00702,                0.25641,                0.00811,                0.00184,                0.03473,                0.19651,                0.02215,                0.00422,                 2.6031,                      0,                 7.8747,                 2.1986,              0.0015776,              0.0015776,              0.0015776
                     18,                 1.5969,                 4.6416,                 2.2532,                 1.8294,                0.13595,                0.82051,                0.15428,                0.05211,                0.06058,                0.79487,                0.06018,                0.01269,                 1.5005,                      0,                 5.7231,                 1.4192,              0.0015512,              0.0015512,              0.0015512
                     19,                 1.5287,                 3.9969,                 2.1428,                  1.723,                0.19244,                0.28205,                 0.2453,                 0.1049,                0.16532,                 0.4359,                 0.2004,                0.05508,                 2.2475,                      0,                 11.729,                 2.3517,              0.0015248,              0.0015248,              0.0015248
                     20,                 1.4971,                   3.55,                 2.1362,                  1.736,                0.16187,                0.28205,                0.14899,                0.07459,                0.15866,                0.51282,                0.15518,                0.06337,                 1.4609,                      0,                 5.1928,                  1.367,              0.0014984,              0.0014984,              0.0014984
                     21,                 1.3919,                 3.6577,                 2.0453,                 1.6631,                0.09682,                0.79487,                0.10526,                0.04409,                0.08975,                0.66667,                 0.0917,                0.02666,                 1.7063,                      0,                 6.1244,                 1.5849,               0.001472,               0.001472,               0.001472
                     22,                 1.5124,                 4.2294,                 2.2588,                 1.7578,                0.00605,                      1,                0.08382,                0.03043,                0.00186,                0.30769,                0.00553,                 0.0013,                 1.5085,                      0,                 5.1243,                 1.3576,              0.0014456,              0.0014456,              0.0014456
                     23,                 1.7367,                 4.6853,                 2.4106,                 1.9211,                0.00754,                0.05128,                0.00198,                0.00068,                0.00377,                0.02564,                0.00094,                0.00018,                 4.2206,                      0,                 7.0599,                 3.0667,              0.0014192,              0.0014192,              0.0014192
                     24,                 2.0358,                 6.1228,                 2.6941,                 2.1507,                0.01217,                0.46154,                0.01111,                0.00309,                0.00541,                0.20513,                0.00736,                 0.0008,                   2.24,                      0,                 10.106,                 5.0535,              0.0013928,              0.0013928,              0.0013928
                     25,                 1.8904,                 6.1282,                 2.5862,                 2.0832,                0.01797,                0.97436,                 0.0461,                0.01727,                0.00388,                0.69231,                0.00539,                0.00093,                 2.0478,                      0,                  5.227,                 1.7197,              0.0013664,              0.0013664,              0.0013664
                     26,                 1.9839,                 5.5706,                 2.6698,                 2.1479,                0.00429,                      1,                0.13428,                0.06138,                0.00385,                0.89744,                0.07772,                0.01483,                 1.4805,                      0,                 4.7847,                 1.4595,                0.00134,                0.00134,                0.00134
                     27,                 1.7609,                 5.6758,                 2.5143,                 1.9665,                0.02047,                      1,                0.17502,                0.09292,                0.00131,                0.28205,                0.00313,                0.00042,                 1.6104,                      0,                 4.9351,                  1.467,              0.0013136,              0.0013136,              0.0013136
                     28,                 1.6907,                  6.536,                 2.4207,                 1.9112,                0.02055,                      1,                0.16868,                 0.0782,                0.01738,                0.84615,                0.10306,                0.01854,                  1.485,                      0,                 5.0392,                 1.4041,              0.0012872,              0.0012872,              0.0012872
                     29,                  1.657,                 4.8736,                 2.4066,                 1.8656,                0.03703,                      1,                0.17352,                0.08282,                0.03323,                0.89744,                0.12465,                 0.0285,                 1.2752,                      0,                  4.372,                 1.1894,              0.0012608,              0.0012608,              0.0012608
                     30,                 1.7268,                 6.1679,                 2.3963,                 1.8948,                0.03139,                      1,                0.07336,                0.03007,                0.00186,                0.33333,                0.00204,                 0.0003,                 1.5515,                      0,                 5.1373,                 1.3857,              0.0012344,              0.0012344,              0.0012344
                     31,                 1.7907,                 6.4745,                  2.429,                 1.9348,                0.02283,                0.84615,                 0.0372,                0.01425,                0.02183,                0.58974,                0.01744,                0.00242,                 1.8989,                      0,                 5.7675,                 1.5809,               0.001208,               0.001208,               0.001208
                     32,                 1.7413,                 5.8938,                 2.3685,                 1.8995,                0.03551,                      1,                0.07476,                0.03305,                0.00477,                0.89744,                 0.0111,                 0.0021,                  1.308,                      0,                 5.0792,                 1.2091,              0.0011816,              0.0011816,              0.0011816
                     33,                 1.6396,                 5.8534,                 2.2839,                 1.8219,                0.06259,                      1,                0.15087,                 0.0613,                0.05457,                0.87179,                0.10644,                0.01955,                 1.4776,                      0,                  4.565,                 1.2858,              0.0011552,              0.0011552,              0.0011552
                     34,                 1.6379,                 5.0673,                 2.2929,                 1.8244,                0.10442,                      1,                0.42184,                0.19913,                0.10442,                      1,                0.38472,                0.10481,                 1.1554,                      0,                 4.1404,                 1.1218,              0.0011288,              0.0011288,              0.0011288
                     35,                 1.6056,                 4.4508,                 2.3286,                 1.8023,                0.01966,                      1,                0.08309,                0.02597,                0.01916,                0.97436,                0.04503,                0.00883,                  1.777,                      0,                 5.4257,                 1.5528,              0.0011024,              0.0011024,              0.0011024
