                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.90177,                 2.0891,                 2.1731,                 1.3288,                0.26186,                      1,                0.83317,                0.50776,                0.26186,                      1,                0.83317,                0.61597,                0.59661,                      0,                  5.101,                0.77351,             0.00065185,             0.00065185,             0.00065185
                      1,                0.78842,                 1.1872,                 1.7982,                  1.205,                0.64632,                0.97436,                 0.8497,                0.49387,                0.64632,                0.97436,                0.86053,                0.47197,                0.74516,                      0,                  4.502,                 1.0494,              0.0012527,              0.0012527,              0.0012527
                      2,                0.80124,                 1.1868,                 1.7455,                 1.2068,                0.87488,                0.89744,                0.95867,                0.61683,                 0.8843,                0.89744,                0.92744,                0.54442,                0.57096,                      0,                 4.2123,                0.76617,              0.0017869,              0.0017869,              0.0017869
                      3,                0.80895,                 1.2614,                 1.6836,                 1.2129,                0.45191,                0.97436,                0.47785,                0.33219,                0.45191,                0.97436,                0.47785,                0.30307,                0.60765,                      0,                 3.6164,                 0.8004,              0.0017003,              0.0017003,              0.0017003
                      4,                 0.7697,                 1.1935,                 1.6411,                 1.1704,                0.63966,                0.86491,                0.75424,                0.47483,                0.60636,                0.79487,                0.71206,                0.50168,                 0.8046,                      0,                 3.5571,                0.89881,              0.0017003,              0.0017003,              0.0017003
                      5,                0.80125,                 1.2427,                 1.6117,                 1.1952,                0.61667,                0.86633,                0.70246,                0.45504,                0.59842,                0.84069,                 0.6823,                0.53549,                0.85828,                      0,                 4.1008,                0.96126,              0.0016004,              0.0016004,              0.0016004
                      6,                0.78981,                 1.2626,                 1.5671,                 1.1883,                0.81565,                0.89744,                0.91886,                0.56986,                0.81565,                0.89744,                0.90677,                0.50487,                0.80331,                      0,                 3.4962,                0.89466,              0.0015005,              0.0015005,              0.0015005
                      7,                0.81869,                 1.2384,                 1.5948,                 1.2127,                0.67807,                0.76923,                 0.7569,                0.56933,                0.67807,                0.76923,                0.75605,                0.62197,                0.59315,                      0,                 3.6637,                0.72158,              0.0014006,              0.0014006,              0.0014006
                      8,                0.79091,                 1.1791,                 1.5901,                 1.1913,                 0.5021,                0.76923,                0.67253,                0.41029,                0.57597,                0.76923,                0.73336,                0.53757,                0.90859,                      0,                 3.9493,                 1.0095,              0.0013007,              0.0013007,              0.0013007
                      9,                0.76681,                  1.067,                 1.4938,                 1.1669,                0.87523,                0.89934,                0.94565,                 0.4501,                0.87523,                0.89934,                0.94565,                0.64762,                 1.0962,                      0,                 3.6097,                 1.2139,              0.0012008,              0.0012008,              0.0012008
                     10,                0.77481,                 1.0366,                  1.543,                  1.183,                0.89758,                      1,                0.98424,                0.63108,                0.89758,                      1,                0.98424,                0.66822,                0.66176,                      0,                 3.0584,                0.80382,              0.0011009,              0.0011009,              0.0011009
                     11,                0.71971,                 1.0199,                 1.5462,                 1.1482,                0.52881,                      1,                0.84645,                0.65059,                0.52881,                      1,                0.84645,                0.72912,                0.53844,                      0,                 3.1288,                0.69799,               0.001001,               0.001001,               0.001001
                     12,                0.72714,                 1.0253,                 1.5555,                 1.1456,                0.93172,                0.89744,                0.97278,                0.68472,                0.93172,                0.89744,                0.97278,                0.74364,                 0.7153,                      0,                 2.8151,                0.80621,              0.0009011,              0.0009011,              0.0009011
                     13,                0.72603,                 1.0042,                 1.5599,                 1.1616,                0.94235,                      1,                  0.992,                0.75943,                0.94235,                      1,                  0.992,                0.86712,                0.67184,                      0,                 2.9216,                0.80481,              0.0008012,              0.0008012,              0.0008012
                     14,                0.71878,                 1.0279,                 1.4836,                 1.1426,                 0.9482,                0.93889,                  0.986,                0.69274,                 0.9482,                0.93889,                  0.986,                0.79555,                0.58253,                      0,                 2.9113,                0.77232,              0.0007013,              0.0007013,              0.0007013
                     15,                0.70373,                 1.0129,                 1.5235,                 1.1539,                0.99205,                      1,                  0.995,                0.78668,                0.99205,                      1,                  0.995,                0.85092,                0.72315,                      0,                 2.1775,                0.80344,              0.0006014,              0.0006014,              0.0006014
                     16,                0.68172,                0.95814,                 1.4692,                 1.1163,                0.98934,                      1,                  0.995,                0.76247,                0.98934,                      1,                  0.995,                0.81514,                  0.651,                      0,                 2.5717,                0.75865,              0.0005015,              0.0005015,              0.0005015
                     17,                0.68993,                0.97302,                 1.5112,                 1.1293,                0.99582,                      1,                  0.995,                0.80728,                0.99582,                      1,                  0.995,                0.88889,                0.62451,                      0,                 2.3902,                0.74058,              0.0004016,              0.0004016,              0.0004016
                     18,                0.66613,                0.97091,                 1.4911,                 1.1144,                0.99024,                      1,                  0.995,                0.75775,                0.99024,                      1,                  0.995,                0.88719,                0.64423,                      0,                 2.5141,                0.74144,              0.0003017,              0.0003017,              0.0003017
                     19,                0.65091,                0.93205,                 1.4664,                 1.0942,                0.98769,                      1,                  0.995,                0.79913,                0.98769,                      1,                  0.995,                0.85859,                0.54956,                      0,                 2.4821,                0.69606,              0.0002018,              0.0002018,              0.0002018
