                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5736,                 4.5663,                 2.8828,                  1.944,                0.00333,                      1,                0.45308,                0.26391,                0.00333,                      1,                0.45308,                0.28148,                0.84103,                      0,                 6.3419,                0.94988,                0.00012,                0.00012,                0.00012
                      1,                0.87438,                 2.2767,                 2.2713,                 1.3313,                0.00333,                      1,                  0.995,                 0.6763,                0.00333,                      1,                0.86167,                0.64292,                 0.7673,                      0,                  5.803,                0.89776,             0.00025571,             0.00025571,             0.00025571
                      2,                0.82901,                 1.7685,                 2.1237,                 1.2874,                0.00333,                      1,                  0.995,                0.80308,                0.00333,                      1,                  0.995,                0.51025,                0.57592,                      0,                 5.7514,                 0.7762,              0.0003868,              0.0003868,              0.0003868
                      3,                0.77037,                 1.5274,                 2.0477,                 1.2681,                0.00333,                      1,                  0.995,                0.67476,                0.00333,                      1,                  0.995,                0.77793,                0.53508,                      0,                 5.5513,                 0.7336,             0.00051327,             0.00051327,             0.00051327
                      4,                0.77275,                 1.3999,                 1.8887,                 1.2072,                0.27121,                      1,                  0.995,                0.78557,                0.27121,                      1,                  0.995,                0.83237,                 0.5773,                      0,                 4.7951,                0.85294,             0.00063512,             0.00063512,             0.00063512
                      5,                0.83145,                 1.3661,                 1.9489,                 1.2855,                      1,                0.78447,                0.96167,                0.70292,                      1,                0.78447,                  0.995,                0.70688,                0.51538,                      0,                 4.6544,                0.76268,             0.00075235,             0.00075235,             0.00075235
                      6,                0.85648,                 1.5097,                 1.9065,                 1.2804,                0.83869,                      1,                  0.995,                0.77558,                0.83869,                      1,                  0.995,                0.75097,                 0.6675,                      0,                 4.4888,                0.96989,             0.00086496,             0.00086496,             0.00086496
                      7,                0.85152,                 1.4635,                 1.8735,                  1.231,                0.70026,                      1,                  0.895,                0.70558,                0.70026,                      1,                  0.895,                0.75554,                0.58441,                      0,                 4.5024,                0.87187,             0.00097295,             0.00097295,             0.00097295
                      8,                0.88947,                 1.4309,                 1.9157,                 1.3015,                0.67743,                0.84521,                0.73196,                0.50143,                0.67743,                0.84521,                0.73196,                0.57771,                 1.0262,                      0,                 4.9489,                 1.5662,              0.0010763,              0.0010763,              0.0010763
                      9,                0.77543,                 1.3166,                 1.7979,                 1.2298,                0.78932,                0.75729,                0.75833,                0.57658,                0.78932,                0.75729,                0.75833,                 0.6039,                0.85509,                      0,                 4.4661,                 1.1201,              0.0011751,              0.0011751,              0.0011751
                     10,                 0.8057,                 1.2787,                 1.7642,                 1.2271,                0.83234,                0.99404,                0.92833,                0.60272,                0.83234,                0.99404,                0.92833,                0.71587,                0.89093,                      0,                 4.3089,                 1.3146,              0.0012692,              0.0012692,              0.0012692
                     11,                0.82807,                 1.2664,                 1.8747,                 1.2557,                      1,                0.99327,                  0.995,                 0.7156,                      1,                0.99327,                  0.995,                0.75769,                0.85602,                      0,                 4.4773,                  1.305,              0.0013587,              0.0013587,              0.0013587
                     12,                0.86298,                 1.2669,                  1.842,                 1.2641,                0.88784,                      1,                  0.995,                0.63455,                0.88784,                      1,                  0.995,                0.72619,                0.90833,                      0,                 4.4227,                 1.4391,              0.0014436,              0.0014436,              0.0014436
                     13,                 0.8275,                 1.3178,                   1.78,                 1.2467,                0.58098,                    0.8,                0.72833,                0.43621,                0.58098,                    0.8,                0.72833,                0.43135,                0.99618,                      0,                 4.9045,                 1.8059,              0.0015239,              0.0015239,              0.0015239
                     14,                0.86411,                 1.2378,                 1.7745,                 1.2593,                0.15283,                      1,                0.16583,                0.10762,                0.15283,                      1,                0.16583,                0.12602,                 0.7216,                      0,                 6.5692,                 1.3125,               0.001538,               0.001538,               0.001538
                     15,                0.76607,                 1.1689,                 1.7075,                 1.2005,                0.12992,                      1,                0.13819,                0.08063,                0.12992,                      1,                0.13819,                0.10437,                0.86409,                      0,                 6.1545,                 1.5452,               0.001538,               0.001538,               0.001538
                     16,                0.82261,                  1.356,                 1.7257,                 1.2147,                0.94122,                      1,                  0.995,                0.58732,                0.94122,                      1,                  0.995,                0.78475,                0.87875,                      0,                 5.2178,                 1.5516,               0.001505,               0.001505,               0.001505
                     17,                0.82139,                 1.3343,                 1.7336,                 1.2247,                0.96847,                      1,                  0.995,                0.68306,                0.34145,                    0.6,                0.34432,                0.15158,                0.84228,                      0,                 5.7733,                 2.0142,               0.001472,               0.001472,               0.001472
                     18,                0.78225,                 1.2177,                 1.7217,                 1.2002,                0.87712,                    0.8,                0.96167,                 0.6068,                0.32302,                    0.8,                0.35576,                0.24414,                0.73863,                      0,                   4.92,                 1.4142,               0.001439,               0.001439,               0.001439
                     19,                0.82084,                 1.3617,                 1.7148,                 1.2176,                0.79147,                      1,                  0.895,                0.55358,                 0.4669,                    0.6,                0.45135,                0.22281,                 0.7496,                      0,                   4.66,                 1.3227,               0.001406,               0.001406,               0.001406
                     20,                0.75982,                 1.2176,                  1.646,                 1.1645,                0.73928,                    0.8,                0.93786,                0.63967,                0.73928,                    0.8,                0.93786,                 0.6253,                0.97112,                      0,                 4.4864,                 1.6403,               0.001373,               0.001373,               0.001373
                     21,                0.84696,                 1.1986,                 1.6832,                 1.2317,                0.88354,                    0.4,                0.65056,                0.36053,                0.88354,                    0.4,                0.65056,                0.44534,                0.66074,                      0,                 4.1104,                 1.0882,                0.00134,                0.00134,                0.00134
                     22,                0.68986,                 1.1071,                 1.6936,                 1.1798,                0.49798,                    0.6,                0.65056,                0.51282,                0.42703,                0.74985,                  0.695,                 0.5705,                0.44487,                      0,                 4.1126,                 0.7705,               0.001307,               0.001307,               0.001307
                     23,                 0.7559,                 1.2719,                 1.6647,                  1.177,                0.54877,                0.97559,                0.60556,                0.46671,                0.54877,                0.97559,                0.60556,                0.51832,                0.46234,                      0,                 4.0347,                0.72128,               0.001274,               0.001274,               0.001274
                     24,                 0.8824,                 1.2897,                 1.7067,                 1.2885,                0.89808,                      1,                  0.995,                0.77203,                0.89808,                      1,                  0.995,                0.85055,                 0.4579,                      0,                 3.6575,                0.72245,               0.001241,               0.001241,               0.001241
                     25,                 0.7917,                 1.1799,                  1.707,                 1.2393,                0.95079,                      1,                  0.995,                0.72585,                0.95079,                      1,                  0.995,                0.84088,                0.70037,                      0,                 3.6153,                0.85091,               0.001208,               0.001208,               0.001208
                     26,                0.79475,                 1.2827,                 1.7184,                 1.2039,                      1,                0.92509,                  0.995,                 0.7402,                      1,                0.92509,                  0.995,                0.81094,                0.60168,                      0,                 3.5989,                  0.854,               0.001175,               0.001175,               0.001175
                     27,                0.77085,                 1.2201,                 1.6398,                 1.1897,                0.82326,                0.93953,                0.96167,                0.61829,                0.82326,                0.93953,                0.96167,                0.77026,                0.64544,                      0,                 3.6608,                0.82143,               0.001142,               0.001142,               0.001142
                     28,                 0.7354,                 1.1767,                 1.5911,                 1.1804,                0.87723,                      1,                  0.995,                0.80015,                0.87723,                      1,                  0.995,                0.82238,                0.59869,                      0,                 3.4311,                0.87829,               0.001109,               0.001109,               0.001109
                     29,                0.72667,                 1.2268,                 1.6511,                 1.1711,                0.79865,                      1,                  0.995,                 0.8256,                0.79865,                      1,                  0.995,                0.85626,                0.61843,                      0,                 3.7276,                0.92467,               0.001076,               0.001076,               0.001076
                     30,                0.67747,                 1.1607,                 1.5876,                 1.1543,                 0.8876,                      1,                  0.995,                0.86354,                 0.8876,                      1,                  0.995,                0.82356,                0.43807,                      0,                 3.4148,                0.72659,               0.001043,               0.001043,               0.001043
                     31,                0.74293,                 1.1561,                 1.5831,                  1.202,                0.94396,                      1,                  0.995,                0.85542,                0.94396,                      1,                  0.995,                 0.8955,                0.50063,                      0,                 3.2302,                0.71366,                0.00101,                0.00101,                0.00101
                     32,                 0.7969,                 1.3302,                  1.628,                  1.199,                0.94812,                      1,                  0.995,                0.81581,                0.94812,                      1,                  0.995,                0.86754,                0.49376,                      0,                 3.2482,                0.70895,               0.000977,               0.000977,               0.000977
                     33,                 0.7965,                 1.3684,                  1.655,                 1.1853,                0.80885,                      1,                0.92833,                0.68801,                0.80885,                      1,                0.92833,                0.80888,                  0.481,                      0,                 3.2735,                0.70238,               0.000944,               0.000944,               0.000944
                     34,                0.72806,                 1.2199,                 1.5822,                  1.173,                0.60269,                      1,                  0.655,                0.46246,                0.60269,                      1,                  0.655,                 0.5356,                 0.5023,                      0,                 3.3323,                0.69218,               0.000911,               0.000911,               0.000911
                     35,                0.77958,                  1.247,                 1.6412,                  1.204,                0.67434,                      1,                0.71071,                 0.5108,                0.67434,                      1,                0.71071,                0.58092,                0.54365,                      0,                 3.3363,                0.75615,               0.000878,               0.000878,               0.000878
                     36,                0.72341,                 1.1818,                 1.6338,                 1.1638,                0.54935,                      1,                0.82917,                0.62192,                0.54935,                      1,                0.82917,                0.69731,                0.56734,                      0,                 3.3562,                0.77799,               0.000845,               0.000845,               0.000845
                     37,                0.78195,                 1.2932,                 1.5652,                 1.1677,                 0.5374,                      1,                0.77886,                0.56289,                 0.5374,                      1,                0.77886,                0.65012,                 0.6326,                      0,                 3.3357,                0.86726,               0.000812,               0.000812,               0.000812
                     38,                0.68006,                 1.0532,                 1.6018,                 1.1487,                0.59649,                      1,                0.82917,                0.60846,                0.59649,                      1,                0.82917,                0.66992,                0.66204,                      0,                 3.3676,                0.89103,               0.000779,               0.000779,               0.000779
                     39,                0.77407,                 1.1793,                 1.6482,                 1.1847,                0.83018,                      1,                  0.995,                0.80391,                0.83018,                      1,                  0.995,                0.81587,                0.60559,                      0,                 3.0648,                0.77327,               0.000746,               0.000746,               0.000746
                     40,                0.67399,                 1.1278,                 1.5677,                 1.1512,                0.87456,                      1,                  0.995,                0.83679,                0.87456,                      1,                  0.995,                0.84075,                0.56528,                      0,                 3.0697,                0.74889,               0.000713,               0.000713,               0.000713
                     41,                0.67875,                 1.1878,                 1.6089,                 1.1451,                0.89705,                      1,                  0.995,                0.75214,                0.89705,                      1,                  0.995,                0.83964,                0.61269,                      0,                 3.1428,                0.85812,                0.00068,                0.00068,                0.00068
                     42,                 0.7255,                 1.1423,                 1.6306,                 1.1882,                0.66087,                      1,                0.85786,                 0.6245,                0.66087,                      1,                0.85786,                0.70004,                0.56573,                      0,                 3.2058,                 0.8512,               0.000647,               0.000647,               0.000647
                     43,                0.64963,                 1.0498,                 1.5171,                 1.1217,                 0.6759,                0.83877,                0.77886,                0.58167,                 0.6759,                0.83877,                0.77886,                0.69416,                0.46214,                      0,                 3.1095,                0.74359,               0.000614,               0.000614,               0.000614
                     44,                0.64642,                 1.0168,                 1.4984,                 1.0949,                 0.8201,                      1,                0.82917,                0.71977,                 0.8201,                      1,                0.82917,                0.74625,                0.45997,                      0,                 3.0742,                0.71987,               0.000581,               0.000581,               0.000581
                     45,                0.63517,                 1.0599,                 1.5721,                 1.1171,                0.71085,                      1,                0.71071,                0.57431,                0.71085,                      1,                0.71071,                0.59419,                0.51415,                      0,                 2.9318,                0.75016,               0.000548,               0.000548,               0.000548
                     46,                0.67275,                 1.1384,                 1.4737,                 1.0942,                0.65739,                      1,                0.77886,                0.66522,                0.65739,                      1,                0.77886,                0.65152,                0.49984,                      0,                 2.8961,                0.74087,               0.000515,               0.000515,               0.000515
                     47,                0.64429,                 1.0676,                  1.558,                 1.0895,                0.82893,                0.97355,                0.96167,                0.86383,                0.82893,                0.97355,                0.96167,                0.83725,                0.45906,                      0,                 3.0894,                 0.7052,               0.000482,               0.000482,               0.000482
