                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0988,                 3.3489,                    2.2,                 1.4293,                 0.1242,                      1,                0.82847,                0.43635,                0.09833,                0.79167,                0.44633,                0.13499,                0.87344,                      0,                 4.6133,                0.79778,                0.00054,                0.00054,                0.00054
                      1,                0.71991,                 1.7161,                 1.6657,                 1.1227,                0.33254,                0.79167,                0.52502,                0.26658,                0.39244,                0.79167,                 0.5783,                0.22758,                 1.3362,                      0,                 4.3798,                 1.7345,              0.0010891,              0.0010891,              0.0010891
                      2,                0.70756,                 1.5692,                 1.5959,                 1.0933,                0.52432,                0.91667,                 0.5436,                0.32124,                0.42994,                0.70833,                0.41507,                0.13783,                0.54565,                      0,                  3.934,                0.67969,              0.0016271,              0.0016271,              0.0016271
                      3,                0.71158,                 1.4965,                 1.5778,                 1.1096,                0.68009,                      1,                0.87447,                0.47989,                0.61022,                0.91667,                0.70894,                0.26809,                0.69983,                      0,                 3.5769,                0.84829,              0.0019406,              0.0019406,              0.0019406
                      4,                0.66448,                 1.5937,                 1.5236,                 1.0789,                0.70568,                      1,                0.85031,                0.57351,                0.69039,                0.97917,                0.78373,                0.36736,                0.47315,                      0,                 3.1656,                0.56104,              0.0019406,              0.0019406,              0.0019406
                      5,                0.64396,                 1.5683,                 1.4819,                   1.07,                0.61082,                0.95833,                  0.786,                0.48993,                 0.5765,                 0.9375,                0.74301,                0.35669,                0.69526,                      0,                 3.5985,                0.76183,              0.0019208,              0.0019208,              0.0019208
                      6,                0.70485,                 1.6726,                 1.4471,                  1.096,                0.58223,                      1,                0.77458,                0.55223,                0.49859,                0.85417,                0.59862,                0.28822,                0.57219,                      0,                  3.168,                 0.6134,               0.001901,               0.001901,               0.001901
                      7,                0.74336,                 1.6554,                 1.4753,                  1.117,                0.71991,                0.64264,                0.77285,                0.58696,                0.66065,                0.54167,                0.58801,                0.27054,                0.70532,                      0,                 3.6123,                0.72724,              0.0018812,              0.0018812,              0.0018812
                      8,                0.83832,                 1.9451,                 1.5167,                 1.1979,                0.68303,                0.80815,                0.82881,                0.62651,                0.51368,                 0.8125,                0.64795,                0.31158,                0.61176,                      0,                 3.1033,                  0.672,              0.0018614,              0.0018614,              0.0018614
                      9,                0.79314,                 1.7591,                 1.4778,                 1.1513,                 0.3037,                      1,                0.38407,                0.24819,                0.36037,                 0.8125,                0.37295,                0.16173,                0.65678,                      0,                  3.431,                0.67683,              0.0018416,              0.0018416,              0.0018416
