                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0993,                 3.4786,                 2.7015,                 1.4324,                0.00678,                      1,                0.58686,                 0.3875,                 0.0063,                 0.9375,                0.54298,                0.22029,                0.78597,                      0,                 5.0187,                0.70479,             0.00045009,             0.00045009,             0.00045009
                      1,                0.67578,                 1.7164,                 2.1315,                 1.0899,                0.31854,                  0.625,                0.55047,                0.44352,                0.26996,                0.50054,                0.55086,                0.19443,                0.47473,                      0,                 4.0598,                0.56542,             0.00090777,             0.00090777,             0.00090777
                      2,                0.69053,                 1.5564,                 1.9729,                 1.0792,                0.46224,                  0.625,                0.52562,                0.37083,                0.46266,                 0.5625,                0.49041,                0.27051,                0.64355,                      0,                 4.6541,                0.70635,              0.0013562,              0.0013562,              0.0013562
                      3,                0.69215,                 1.4497,                 1.9311,                 1.0939,                0.43766,                0.71672,                0.60208,                0.37343,                0.43766,                0.71672,                0.60062,                0.37518,                0.68123,                      0,                 4.3038,                0.71411,              0.0016175,              0.0016175,              0.0016175
                      4,                0.64683,                 1.3985,                 1.8291,                 1.0608,                0.99317,                0.29167,                0.45703,                0.38822,                0.99317,                0.29167,                0.45677,                0.25186,                0.51399,                      0,                 5.4169,                0.61391,              0.0016175,              0.0016175,              0.0016175
                      5,                0.64971,                 1.5608,                  1.807,                 1.0661,                0.64188,                 0.9375,                0.87779,                0.71851,                0.64188,                 0.9375,                0.87779,                0.61322,                0.41624,                      0,                 4.0405,                 0.5137,               0.001601,               0.001601,               0.001601
                      6,                0.66717,                 1.4623,                 1.7696,                 1.0617,                0.76728,                0.69411,                0.90456,                0.61232,                0.76728,                0.69411,                0.90456,                0.59568,                0.65016,                      0,                 3.6738,                0.60807,              0.0015845,              0.0015845,              0.0015845
                      7,                0.64557,                 1.3916,                 1.7153,                 1.0419,                0.65925,                0.77083,                0.88182,                0.78976,                0.65925,                0.77083,                0.88182,                0.62168,                0.38939,                      0,                 3.6932,                0.49323,               0.001568,               0.001568,               0.001568
                      8,                 0.6303,                 1.5013,                 1.7012,                 1.0431,                0.01054,                0.95833,                0.27041,                 0.0727,                 0.2593,                0.24282,                 0.2479,                0.10075,                 2.0614,                      0,                 5.4529,                 1.1923,              0.0015515,              0.0015515,              0.0015515
                      9,                0.70412,                  1.583,                 1.7186,                 1.0986,                0.23791,                0.36382,                0.24893,                0.14238,                0.23543,                0.32125,                0.25077,                0.12787,                 1.1544,                      0,                 4.5949,                 1.0923,               0.001535,               0.001535,               0.001535
                     10,                0.74181,                 1.5624,                 1.6954,                 1.0981,                0.55002,                0.55277,                0.45968,                0.18091,                0.28956,                0.47917,                0.44765,                0.17486,                 1.3691,                      0,                 4.1201,                  1.043,              0.0015185,              0.0015185,              0.0015185
                     11,                0.73798,                 1.5558,                 1.7198,                 1.1221,                0.25481,                 0.4375,                0.43211,                0.19589,                0.26081,                0.43658,                0.41571,                0.13718,                 1.2442,                      0,                 4.9212,                 1.1262,               0.001502,               0.001502,               0.001502
                     12,                0.75017,                 1.6096,                 1.7046,                 1.1151,                 0.2184,                 0.6875,                0.26772,                0.12578,                0.27308,                0.78226,                 0.3254,                0.15125,                 1.1375,                      0,                 4.6452,                0.99148,              0.0014855,              0.0014855,              0.0014855
                     13,                0.72061,                 1.5457,                  1.679,                 1.1047,                0.70176,                0.90502,                0.85778,                0.51208,                0.60525,                 0.7867,                0.68998,                0.26635,                0.92627,                      0,                 4.1139,                0.83884,               0.001469,               0.001469,               0.001469
                     14,                 0.7269,                 1.5134,                 1.6704,                 1.0959,                0.50565,                0.66667,                0.65118,                0.36491,                0.33502,                0.80184,                0.32884,                0.18497,                0.68647,                      0,                 4.4278,                 0.6918,              0.0014525,              0.0014525,              0.0014525
                     15,                0.72667,                 1.4869,                 1.6446,                 1.0864,                0.37294,                0.81429,                0.49523,                0.33229,                0.37294,                0.81429,                0.49523,                0.30198,                0.66024,                      0,                 3.8746,                0.65904,               0.001436,               0.001436,               0.001436
                     16,                0.72447,                 1.5195,                 1.6427,                 1.0985,                0.58738,                0.95833,                0.84158,                0.63562,                 0.5734,                0.89583,                0.63843,                0.32069,                0.80234,                      0,                 3.2912,                 0.7337,              0.0014195,              0.0014195,              0.0014195
                     17,                0.73745,                 1.6087,                 1.7118,                  1.132,                0.60241,                0.89517,                 0.9068,                0.55221,                0.40803,                0.72917,                0.66473,                0.34295,                 0.7537,                      0,                 3.5687,                 0.7446,              0.0014029,              0.0014029,              0.0014029
                     18,                0.74781,                 1.4825,                 1.6592,                 1.1077,                0.68624,                0.35417,                0.33792,                0.26093,                0.68624,                0.35417,                0.33772,                0.20742,                0.60485,                      0,                 4.2297,                0.59988,              0.0013864,              0.0013864,              0.0013864
                     19,                0.73506,                 1.4458,                 1.6571,                 1.1016,                0.42392,                 0.5625,                0.45618,                0.34892,                0.41828,                0.54167,                0.44836,                0.21476,                 0.7672,                      0,                 3.9023,                0.71988,              0.0013699,              0.0013699,              0.0013699
                     20,                0.73306,                 1.5375,                  1.699,                 1.0926,                0.36445,                 0.9375,                0.40391,                0.27115,                0.35985,                0.95833,                0.40391,                0.21408,                0.59312,                      0,                 3.7361,                0.64626,              0.0013534,              0.0013534,              0.0013534
                     21,                0.70538,                 1.3741,                 1.7071,                  1.098,                0.87114,                0.91667,                0.94283,                0.75393,                0.87114,                0.91667,                0.94283,                0.62913,                0.40795,                      0,                   3.35,                0.53426,              0.0013369,              0.0013369,              0.0013369
                     22,                0.73956,                 1.5589,                  1.728,                 1.1105,                0.48045,                0.72917,                0.69782,                0.53365,                0.48045,                0.72917,                0.69435,                0.41865,                0.62172,                      0,                 4.1626,                0.65639,              0.0013204,              0.0013204,              0.0013204
                     23,                 0.7525,                 1.6245,                 1.7532,                 1.1172,                0.64417,                0.72917,                0.84518,                0.67399,                0.65477,                0.72917,                0.82044,                0.44477,                0.45656,                      0,                 3.4704,                0.54716,              0.0013039,              0.0013039,              0.0013039
                     24,                0.78117,                 1.7762,                 1.7771,                  1.149,                0.26342,                0.47917,                0.59051,                0.42679,                0.26394,                0.41667,                0.54709,                0.20931,                0.53827,                      0,                 4.0881,                0.61083,              0.0012874,              0.0012874,              0.0012874
                     25,                0.83247,                 1.9638,                 1.8482,                 1.1859,                0.20228,                0.45304,                0.38184,                0.30123,                0.20023,                 0.4375,                0.37187,                0.19301,                0.76095,                      0,                 4.1378,                0.78083,              0.0012709,              0.0012709,              0.0012709
                     26,                0.99327,                 2.9167,                 2.0254,                 1.3087,                0.03823,                      1,                0.08087,                0.03532,                 0.0318,                 0.8125,                0.04988,                0.00971,                   1.84,                      0,                 5.2851,                      2,              0.0012544,              0.0012544,              0.0012544
                     27,                   0.93,                 2.8308,                 1.9579,                 1.2383,                0.09572,                0.66667,                0.15333,                0.07442,                0.07374,                0.52083,                0.08889,                0.01983,                0.99122,                      0,                 5.2299,                0.89914,              0.0012379,              0.0012379,              0.0012379
                     28,                0.85036,                 2.2713,                 1.9089,                  1.193,                0.20147,                0.64583,                0.27916,                0.14115,                0.12567,                0.58333,                0.13858,                0.02847,                 1.1613,                      0,                 4.1487,                 1.0235,              0.0012214,              0.0012214,              0.0012214
                     29,                0.79587,                 2.2283,                 1.8709,                 1.1579,                0.31096,                0.70833,                 0.4169,                 0.3108,                0.28446,                  0.625,                0.37649,                0.16394,                0.77293,                      0,                 3.8895,                0.77759,              0.0012049,              0.0012049,              0.0012049
                     30,                0.80316,                 2.1073,                  1.894,                 1.1669,                0.47416,                0.85417,                0.62184,                0.29672,                0.46301,                0.79167,                0.53779,                0.17938,                 1.2013,                      0,                 4.4695,                 1.0797,              0.0011884,              0.0011884,              0.0011884
                     31,                0.83713,                 2.2685,                 1.8923,                 1.1777,                      1,                0.47025,                0.76196,                0.52744,                 0.9779,                0.45066,                0.60334,                0.20093,                0.77534,                      0,                 3.8388,                0.80306,              0.0011719,              0.0011719,              0.0011719
                     32,                 0.8579,                 2.5551,                 1.8982,                 1.1893,                 0.6957,                0.39583,                 0.3314,                0.15755,                0.72721,                0.14583,                0.15827,                0.04239,                 1.4187,                      0,                 5.6041,                  1.203,              0.0011554,              0.0011554,              0.0011554
                     33,                0.80958,                 2.1258,                 1.8989,                 1.1741,                 0.2638,                0.73188,                0.41983,                0.33231,                0.24145,                0.66938,                0.37045,                0.12457,                0.54527,                      0,                 3.9382,                0.60288,              0.0011389,              0.0011389,              0.0011389
                     34,                0.79872,                 1.9286,                 1.9082,                 1.1664,                0.88377,                  0.375,                0.57262,                0.44778,                0.88377,                  0.375,                0.57033,                0.34813,                0.55002,                      0,                 4.0269,                0.63093,              0.0011224,              0.0011224,              0.0011224
                     35,                0.73788,                 1.9025,                 1.8287,                 1.1233,                0.34393,                0.72917,                0.58808,                0.50278,                0.34393,                0.72917,                0.58808,                0.39637,                0.46768,                      0,                  3.509,                0.53489,              0.0011059,              0.0011059,              0.0011059
                     36,                0.76681,                 2.0195,                 1.8536,                 1.1335,                0.44052,                  0.924,                0.70556,                 0.6349,                0.44052,                  0.924,                0.70556,                   0.47,                0.46759,                      0,                  3.224,                0.53768,              0.0010894,              0.0010894,              0.0010894
                     37,                0.72392,                 1.9185,                 1.7902,                 1.0956,                0.43646,                0.89583,                0.73047,                0.56917,                0.43646,                0.89583,                0.73047,                0.49215,                0.50018,                      0,                 3.4105,                0.59098,              0.0010729,              0.0010729,              0.0010729
                     38,                0.68822,                 1.7261,                 1.7753,                 1.0946,                0.49369,                      1,                0.74625,                0.63028,                0.49369,                      1,                0.74625,                0.45733,                0.50511,                      0,                 3.1286,                 0.5812,              0.0010564,              0.0010564,              0.0010564
                     39,                  0.723,                 1.7609,                 1.7856,                 1.1003,                0.54132,                0.79167,                0.70304,                0.64653,                0.54132,                0.79167,                0.70304,                0.45428,                0.45394,                      0,                 3.0504,                 0.5323,              0.0010399,              0.0010399,              0.0010399
                     40,                 0.7136,                 1.6344,                 1.7975,                  1.103,                0.48195,                0.92831,                0.58252,                0.47659,                0.48195,                0.92831,                0.58252,                0.30979,                 0.5344,                      0,                 3.3786,                0.59718,              0.0010234,              0.0010234,              0.0010234
                     41,                0.71932,                 1.6915,                 1.7812,                 1.1032,                0.26802,                 0.5625,                0.56392,                0.51845,                0.26802,                 0.5625,                0.56392,                0.38203,                0.44755,                      0,                 3.8745,                0.52001,              0.0010069,              0.0010069,              0.0010069
                     42,                0.72022,                  1.772,                 1.8135,                 1.1125,                0.36446,                 0.8935,                0.63305,                0.39433,                0.23637,                  0.625,                0.36136,                0.09761,                0.88966,                      0,                 3.8653,                0.87972,             0.00099036,             0.00099036,             0.00099036
                     43,                0.69391,                 1.7479,                 1.7975,                 1.0833,                0.74366,                0.75151,                0.81034,                0.71393,                0.74366,                0.75151,                0.81034,                0.52257,                0.46847,                      0,                 3.4228,                0.55654,             0.00097386,             0.00097386,             0.00097386
                     44,                0.68494,                 1.6141,                 1.7528,                 1.0822,                0.63857,                 0.8266,                0.66743,                0.54708,                0.55354,                0.64583,                0.53684,                0.16399,                0.69073,                      0,                 3.6617,                 0.7318,             0.00095736,             0.00095736,             0.00095736
                     45,                0.72532,                 2.0691,                 1.8189,                 1.1184,                0.06461,                0.10417,                0.04813,                0.01492,                0.00354,                  0.375,                0.02644,                 0.0067,                 2.4506,                      0,                 6.2813,                 1.7142,             0.00094085,             0.00094085,             0.00094085
                     46,                0.78912,                 2.7421,                 1.9458,                 1.1701,                0.46397,                0.84329,                0.58192,                0.42516,                0.44362,                0.80163,                0.54716,                0.20837,                0.78242,                      0,                 3.8061,                0.77112,             0.00092435,             0.00092435,             0.00092435
                     47,                0.80135,                 2.4062,                 1.9283,                 1.1631,                0.36184,                 0.8125,                0.54093,                0.43404,                0.20897,                  0.375,                0.37544,                0.08502,                0.69234,                      0,                 3.6645,                0.70669,             0.00090785,             0.00090785,             0.00090785
                     48,                0.80551,                 2.1952,                 1.9248,                 1.1653,                0.38007,                0.83333,                0.60736,                0.44917,                0.38007,                0.83333,                0.60736,                0.37136,                0.74278,                      0,                 4.0034,                0.69881,             0.00089134,             0.00089134,             0.00089134
                     49,                0.74476,                 2.0229,                 1.8191,                 1.1148,                0.27929,                  0.625,                0.39731,                 0.3142,                0.28407,                  0.625,                0.38816,                0.20508,                0.55746,                      0,                 3.9133,                0.58891,             0.00087484,             0.00087484,             0.00087484
                     50,                0.76058,                 1.9907,                 1.8504,                 1.1038,                0.17107,                0.39583,                0.18246,                0.11359,                0.17183,                0.39583,                0.18764,                 0.0516,                0.86827,                      0,                 4.6337,                0.79884,             0.00085834,             0.00085834,             0.00085834
                     51,                0.81045,                 2.1938,                 1.8725,                 1.1711,                0.46766,                      1,                 0.6208,                0.51104,                0.46766,                      1,                 0.6204,                 0.3334,                0.60303,                      0,                  3.155,                0.63614,             0.00084184,             0.00084184,             0.00084184
                     52,                0.77645,                 2.1552,                 1.8604,                 1.1321,                0.25546,                  0.875,                0.38891,                0.26541,                0.21334,                0.78551,                0.33818,                0.18326,                0.85239,                      0,                 4.0964,                0.80683,             0.00082533,             0.00082533,             0.00082533
                     53,                0.75171,                 1.9602,                 1.8168,                  1.115,                0.34599,                0.66428,                0.51672,                0.40699,                0.34651,                 0.6568,                0.51155,                0.24424,                0.54074,                      0,                 3.4447,                0.59655,             0.00080883,             0.00080883,             0.00080883
