                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.90216,                 2.0892,                 2.1677,                 1.3256,                0.21407,                      1,                   0.83,                0.56742,                0.21407,                      1,                0.84243,                0.68039,                0.49508,                      0,                 5.1461,                0.66413,             0.00065185,             0.00065185,             0.00065185
                      1,                0.77508,                 1.2209,                 1.8029,                 1.1974,                0.13168,                0.94872,                0.15367,                 0.1055,                0.10932,                0.79487,                0.12709,                0.06237,                0.56364,                      0,                  5.256,                 0.7948,              0.0013055,              0.0013055,              0.0013055
                      2,                0.83118,                 1.3705,                   1.75,                  1.222,                0.56117,                0.66667,                0.63172,                0.40093,                0.52833,                 0.5641,                0.53144,                0.24833,                0.72659,                      0,                 6.0948,                0.85478,              0.0019459,              0.0019459,              0.0019459
                      3,                 0.8484,                 1.4167,                 1.6747,                 1.2335,                0.01689,                0.58974,                0.02162,                0.01104,                0.01456,                0.51282,                0.02162,                0.00975,                 1.7047,                      0,                 40.762,                 1.7805,              0.0019406,              0.0019406,              0.0019406
                      4,                0.86517,                 1.4453,                 1.6392,                 1.2408,                0.16459,                 0.5641,                0.17081,                0.07511,                0.10369,                0.66667,                0.11236,                0.05443,                 1.1946,                      0,                 7.5069,                 1.1243,              0.0019406,              0.0019406,              0.0019406
                      5,                0.84035,                 1.3066,                 1.6043,                 1.2327,                0.35529,                0.76923,                 0.3569,                0.14494,                0.36823,                0.77719,                0.39589,                0.18676,                 1.1002,                      0,                 4.2243,                 1.1239,              0.0019208,              0.0019208,              0.0019208
                      6,                0.82542,                 1.2521,                 1.5988,                 1.2117,                0.71432,                0.69231,                0.70488,                 0.4975,                0.71432,                0.69231,                0.70488,                0.56538,                0.65224,                      0,                 5.4489,                0.79345,               0.001901,               0.001901,               0.001901
                      7,                0.86401,                 1.2944,                  1.601,                 1.2456,                0.65993,                0.92308,                0.87515,                0.63545,                0.65993,                0.92308,                0.87515,                0.64852,                0.74871,                      0,                 3.2919,                0.87446,              0.0018812,              0.0018812,              0.0018812
                      8,                 0.8676,                 1.3242,                 1.6322,                 1.2462,                0.28107,                0.30769,                0.24009,                0.08708,                0.23422,                0.25641,                0.22082,                0.07848,                  1.806,                      0,                 4.9158,                 1.7917,              0.0018614,              0.0018614,              0.0018614
                      9,                0.88832,                  1.469,                 1.6209,                 1.2605,                0.40481,                 0.4359,                0.30809,                 0.1356,                0.42596,                0.43765,                0.33081,                0.17283,                 1.4716,                      0,                  5.371,                 1.3329,              0.0018416,              0.0018416,              0.0018416
