                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8875,                  5.581,                 2.8384,                 2.0528,                0.00667,                      1,                0.35056,                0.16992,                0.00167,                   0.25,                0.06188,                0.00719,                 1.0595,                      0,                 5.4639,                0.93084,                 0.0001,                 0.0001,                 0.0001
                      1,                 1.0577,                 3.9697,                 2.4099,                 1.3925,                0.00667,                      1,                  0.995,                0.68906,                 0.0025,                  0.375,                0.06727,                0.00683,                 0.7319,                      0,                 4.9642,                0.72751,             0.00021129,             0.00021129,             0.00021129
                      2,                0.86904,                  2.694,                 2.0206,                  1.231,                0.00667,                      1,                0.86482,                0.62848,                  0.005,                   0.75,                0.48958,                0.19583,                0.54198,                      0,                 4.5482,                0.60147,             0.00031307,             0.00031307,             0.00031307
                      3,                0.74648,                 2.0952,                 1.7717,                 1.1308,                0.01264,                      1,                0.96227,                0.79181,                0.01264,                      1,                0.96227,                0.43488,                0.46427,                      0,                 4.4463,                0.56021,             0.00040535,             0.00040535,             0.00040535
                      4,                 0.7683,                 1.9232,                 1.6993,                 1.1293,                0.59063,                    0.5,                0.70053,                0.50917,                0.59063,                    0.5,                0.70053,                0.27953,                0.85877,                      0,                 4.2465,                0.75579,             0.00048813,             0.00048813,             0.00048813
                      5,                0.72463,                 1.8578,                 1.7508,                 1.1357,                0.59639,                   0.75,                0.75533,                0.45215,                0.58555,                0.70936,                0.70359,                0.30587,                0.83479,                      0,                 4.1341,                0.79881,              0.0005614,              0.0005614,              0.0005614
                      6,                0.77144,                 1.7329,                 1.6619,                 1.1459,                0.73452,                      1,                0.96722,                0.61399,                0.73452,                      1,                0.96722,                0.40915,                0.63776,                      0,                 3.8287,                0.63417,             0.00062517,             0.00062517,             0.00062517
                      7,                0.72007,                 1.7748,                 1.6403,                 1.1362,                0.74967,                      1,                 0.9085,                 0.5371,                0.77176,                      1,                0.95475,                0.44859,                0.65956,                      0,                 3.9767,                0.71329,             0.00067943,             0.00067943,             0.00067943
                      8,                0.75095,                 1.8436,                 1.6207,                  1.119,                0.50868,                    0.5,                 0.7894,                0.65541,                0.50868,                    0.5,                 0.7894,                0.30994,                0.48785,                      0,                 3.6107,                0.59651,             0.00072419,             0.00072419,             0.00072419
                      9,                0.73118,                 1.8086,                 1.5997,                 1.0956,                0.90013,                      1,                  0.995,                0.81651,                0.90013,                      1,                  0.995,                0.42015,                0.62842,                      0,                 3.3668,                0.64609,             0.00075945,             0.00075945,             0.00075945
                     10,                0.70546,                 1.6626,                 1.6159,                 1.1131,                0.55556,                      1,                0.74412,                 0.6139,                0.55556,                      1,                0.74412,                0.38576,                0.52833,                      0,                 3.5873,                0.59255,              0.0007852,              0.0007852,              0.0007852
                     11,                0.70887,                 1.5998,                 1.6174,                 1.0674,                 0.7592,                      1,                0.90929,                0.77738,                 0.7592,                      1,                0.90929,                0.35928,                0.47276,                      0,                  3.495,                0.59152,             0.00080145,             0.00080145,             0.00080145
                     12,                0.69511,                 1.6612,                 1.5434,                 1.0926,                0.79741,                      1,                0.87725,                0.67177,                0.49951,                  0.625,                0.56968,                0.07222,                0.46863,                      0,                 3.3069,                0.58576,             0.00080819,             0.00080819,             0.00080819
                     13,                0.69513,                 1.5514,                 1.5658,                 1.0792,                0.95669,                      1,                  0.995,                0.70696,                0.83373,                  0.875,                0.88739,                0.22199,                0.50865,                      0,                 3.3346,                0.63725,             0.00080543,             0.00080543,             0.00080543
                     14,                0.70954,                 1.7006,                 1.5724,                 1.0993,                0.97483,                      1,                  0.995,                0.73883,                0.97483,                      1,                  0.995,                0.35443,                0.44962,                      0,                 3.2818,                0.60808,             0.00079317,             0.00079317,             0.00079317
                     15,                0.66363,                 1.4857,                 1.5548,                 1.0581,                0.64543,                      1,                0.89933,                0.59061,                0.64543,                      1,                0.89933,                0.50923,                0.39214,                      0,                 3.4695,                0.53229,              0.0007714,              0.0007714,              0.0007714
                     16,                0.62526,                 1.6052,                 1.5407,                 1.0611,                0.66546,                      1,                0.90968,                0.64171,                0.66546,                      1,                0.90968,                0.55908,                0.36946,                      0,                 3.3336,                0.52915,              0.0007328,              0.0007328,              0.0007328
                     17,                0.61945,                 1.4921,                 1.5035,                 1.0334,                0.94309,                      1,                  0.995,                0.80471,                0.94309,                      1,                  0.995,                0.60842,                0.35299,                      0,                 3.1326,                0.51405,              0.0007328,              0.0007328,              0.0007328
                     18,                0.60335,                  1.486,                 1.5653,                 1.0735,                0.92708,                      1,                  0.995,                0.84036,                0.92708,                      1,                  0.995,                0.60629,                0.32602,                      0,                 3.0764,                0.49289,              0.0006536,              0.0006536,              0.0006536
                     19,                0.60463,                  1.649,                 1.5545,                 1.0544,                0.93412,                      1,                  0.995,                0.89714,                0.93412,                      1,                  0.995,                0.54867,                0.34523,                      0,                 3.0501,                 0.5171,              0.0005744,              0.0005744,              0.0005744
                     20,                0.60817,                 1.4551,                 1.4952,                 1.0399,                0.94794,                      1,                  0.995,                0.85765,                0.94794,                      1,                  0.995,                0.55942,                 0.3869,                      0,                 3.0004,                0.53109,              0.0004952,              0.0004952,              0.0004952
                     21,                0.57086,                 1.3873,                 1.4946,                 1.0193,                0.97081,                      1,                  0.995,                 0.9348,                0.97081,                      1,                  0.995,                0.62919,                0.31495,                      0,                 2.8736,                0.52707,               0.000416,               0.000416,               0.000416
                     22,                0.59198,                 1.4237,                 1.4701,                 1.0333,                0.97347,                      1,                  0.995,                0.92821,                0.97347,                      1,                  0.995,                 0.6697,                0.32064,                      0,                 2.8821,                0.52925,              0.0003368,              0.0003368,              0.0003368
                     23,                0.58629,                 1.3974,                 1.5156,                 1.0596,                0.97251,                      1,                  0.995,                0.91537,                0.97251,                      1,                  0.995,                 0.6324,                0.31285,                      0,                 2.7363,                0.51033,              0.0002576,              0.0002576,              0.0002576
                     24,                0.59066,                 1.5394,                 1.5394,                 1.0511,                0.97137,                      1,                  0.995,                0.87652,                0.97137,                      1,                  0.995,                0.64063,                0.30949,                      0,                 2.7357,                0.50687,              0.0001784,              0.0001784,              0.0001784
